"fid1","iid1","fid2","iid2","m","ibd0","ibd1","ibd2"
"Luapula","PU1","Western","Sample5024473",20,1,0,0
"Luapula","PU1","Western","Sample5024475",1.65290132937773,0.364,0.636,0
"Luapula","PU1","Western","Sample5024476",20,1,0,0
"Luapula","PU1","North-Western","Sample5024485",20,1,0,0
"Luapula","PU1","North-Western","Sample5024500",20,1,0,0
"Luapula","PU1","North-Western","Sample5024504",20,1,0,0
"Luapula","PU1","North-Western","Sample5024513",20,1,0,0
"Luapula","PU1","North-Western","Sample5024515",20,1,0,0
"Luapula","PU1","Muchinga","Sample5024525",20,1,0,0
"Luapula","PU1","Eastern","Sample5024535",1.55427329665002,0.319,0.681,0
"Luapula","PU1","Eastern","Sample5024536",20,1,0,0
"Luapula","PU1","Eastern","Sample5024549",1.79836613883035,0.425,0.575,0
"Luapula","PU1","North-Western","Sample5024591",4.09266321922759,0.815,0.176,0.009
"Luapula","PU1","Eastern","Sample5024608",20,1,0,0
"Luapula","PU1","Eastern","Sample5024610",20,1,0,0
"Luapula","PU1","Luapula","Sample5024673",1.56277226108709,0.323,0.677,0
"Luapula","PU1","Luapula","Sample5024680",20,1,0,0
"Luapula","PU1","Luapula","Sample5024681",20,1,0,0
"Luapula","PU1","Luapula","Sample5024686",20,1,0,0
"Luapula","PU1","Luapula","Sample5024697",20,1,0,0
"Luapula","PU1","Luapula","Sample5024701",20,1,0,0
"Luapula","PU1","Luapula","Sample5024704",3.73696559416621,0.85,0.15,0
"Luapula","PU1","Luapula","Sample5024706",20,1,0,0
"Luapula","PU1","Luapula","Sample5024711",20,1,0,0
"Luapula","PU1","Luapula","Sample5024719",4.77610398807316,0.868,0.127,0.005
"Luapula","PU1","Western","Sample5024771",20,1,0,0
"Luapula","PU1","Luapula","Sample5024818",1.35475948735473,0.218,0.782,0
"Luapula","PU1","Luapula","Sample5024819",20,1,0,0
"Luapula","PU1","Luapula","Sample5024820",2.04097178105631,0.514,0.486,0
"Luapula","PU1","Luapula","Sample5024831",20,1,0,0
"Luapula","PU1","Luapula","Sample5024833",1.5842413334775,0.333,0.667,0
"Luapula","PU1","Luapula","Sample5024838",20,1,0,0
"Luapula","PU1","Luapula","Sample5024839",20,1,0,0
"Luapula","PU1","Muchinga","Sample5024884",20,1,0,0
"Luapula","PU1","Western","Sample5024937",20,1,0,0
"Luapula","PU1","Western","Sample5024964",20,1,0,0
"Luapula","PU1","Luapula","Sample5024981",2.52284078881336,0.652,0.348,0
"Luapula","PU1","Luapula","Sample5024992",1.79085860216141,0.422,0.578,0
"Luapula","PU1","Luapula","Sample5024996",20,1,0,0
"Luapula","PU1","North-Western","Sample5025065",2.72261030118914,0.697,0.303,0
"Luapula","PU1","North-Western","Sample5025076",2.0862010350493,0.529,0.471,0
"Luapula","PU1","North-Western","Sample5025089",20,1,0,0
"Luapula","PU1","North-Western","Sample5025095",20,1,0,0
"Luapula","PU1","Other","Sample5025098",20,1,0,0
"Luapula","PU1","Luapula","Sample5025114",20,1,0,0
"Luapula","PU1","Luapula","Sample5025116",20,1,0,0
"Luapula","PU1","Luapula","Sample5025117",1.47393118833241,0.28,0.72,0
"Luapula","PU1","Luapula","Sample5025118",1.52284078881336,0.304,0.696,0
"Luapula","PU1","Luapula","Sample5025119",20,1,0,0
"Luapula","PU1","Luapula","Sample5025122",20,1,0,0
"Luapula","PU1","Luapula","Sample5025123",20,1,0,0
"Luapula","PU1","Luapula","Sample5025125",20,1,0,0
"Luapula","PU1","Western","Sample5025199",20,1,0,0
"Luapula","PU1","Luapula","Sample5025257",3.18442457113743,0.78,0.22,0
"Luapula","PU1","Luapula","Sample5025261",1.44222232860507,0.264,0.736,0
"Luapula","PU1","Luapula","Sample5025262",2.41503749927884,0.625,0.375,0
"Luapula","PU1","Luapula","Sample5025263",1.95176381434715,0.483,0.517,0
"Luapula","PU1","Luapula","Sample5025264",20,1,0,0
"Luapula","PU1","Luapula","Sample5025266",20,1,0,0
"Luapula","PU1","Luapula","Sample5025268",20,1,0,0
"Luapula","PU1","Western","Sample5025289",20,1,0,0
"Luapula","PU1","Western","Sample5025291",20,1,0,0
"Luapula","PU1","Luapula","Sample5025334",20,1,0,0
"Luapula","PU1","Western","Sample5025335",20,1,0,0
"Luapula","PU1","Luapula","Sample5025398",20,1,0,0
"Luapula","PU1","Other","Sample5025468",20,1,0,0
"Luapula","PU1","Luapula","Sample5025499",1.67807190511264,0.375,0.625,0
"Luapula","PU1","Western","Sample5025503",20,1,0,0
"Luapula","PU1","Western","Sample5025504",20,1,0,0
"Luapula","PU1","Western","Sample5025542",20,1,0,0
"Luapula","PU1","Western","Sample5025548",20,1,0,0
